,開始時刻,終了時刻,左クリック,右クリック,打鍵回数,実行ファイル名,手動分類,候補1,候補2,候補3,自動推定,
,2013/05/22 10:48:44,2013/05/22 10:48:47,1,0,0,excel.exe:Microsoft Excel - テスト仕様書一覧.xls,テスト,テスト,文書作成・確認,,テスト,
,2013/05/22 10:48:47,2013/05/22 10:48:48,1,0,0,excel.exe:Microsoft Excel - 22_FRAME(UBR)制御文変換.xls,テスト,,,,テスト,
,2013/05/22 10:48:48,2013/05/22 10:48:50,1,0,0,excel.exe:Microsoft Excel - 新規Microsoft Excel ワークシート.xls,テスト,,,,テスト,
,2013/05/22 10:48:50,2013/05/22 10:49:01,4,0,0,explorer.exe:OGL_変換仕様書,テスト,,,,テスト,
,2013/05/22 10:49:01,2013/05/22 10:49:02,0,0,0,excel.exe:Microsoft Excel - 新規Microsoft Excel ワークシート.xls,テスト,,,,テスト,
,2013/05/22 10:49:02,2013/05/22 10:49:34,2,0,0,excel.exe:Microsoft Excel - 03_繰返情報変換.xls,テスト,,,,テスト,
,2013/05/22 10:49:34,2013/05/22 10:49:36,2,0,0,explorer.exe:OGL_変換仕様書,テスト,,,,テスト,
,2013/05/22 10:49:37,2013/05/22 10:49:40,2,0,0,excel.exe:Microsoft Excel - 21_FRAME(SQU)制御文変換.xls,テスト,,,,テスト,
,2013/05/22 10:49:40,2013/05/22 10:49:41,0,0,0,excel.exe:Microsoft Excel - 03_繰返情報変換.xls,テスト,,,,テスト,
,2013/05/22 10:49:41,2013/05/22 10:50:03,1,0,0,excel.exe:Microsoft Excel - 21_FRAME(SQU)制御文変換.xls,テスト,,,,テスト,
,2013/05/22 10:50:03,2013/05/22 10:50:48,1,0,0,excel.exe:Microsoft Excel - 21_FRAME(SQU)制御文変換.xls,テスト,,,,テスト,
,2013/05/22 10:50:48,2013/05/22 10:50:50,1,0,0,excel.exe:Microsoft Excel - 03_繰返情報変換.xls,テスト,,,,テスト,
,2013/05/22 10:50:50,2013/05/22 10:51:17,1,0,0,excel.exe:Microsoft Excel - 21_FRAME(SQU)制御文変換.xls,テスト,,,,テスト,
,2013/05/22 10:51:17,2013/05/22 10:51:20,1,0,0,excel.exe:Microsoft Excel - 03_繰返情報変換.xls,テスト,,,,テスト,
,2013/05/22 10:51:20,2013/05/22 10:51:21,1,0,0,explorer.exe:OGL_変換仕様書,テスト,,,,テスト,
,2013/05/22 10:51:21,2013/05/22 10:51:23,1,0,0,excel.exe:Microsoft Excel - 21_FRAME(SQU)制御文変換.xls,テスト,,,,テスト,
,2013/05/22 10:51:23,2013/05/22 10:51:26,1,0,0,excel.exe:Microsoft Excel - 03_繰返情報変換.xls,テスト,,,,テスト,
,2013/05/22 10:51:26,2013/05/22 10:52:47,1,0,0,excel.exe:Microsoft Excel - 21_FRAME(SQU)制御文変換.xls,テスト,,,,テスト,
,2013/05/22 10:52:47,2013/05/22 10:52:53,1,0,0,notepad.exe:ogl-srcdata - メモ帳,テスト,,,,テスト,
,2013/05/22 10:52:53,2013/05/22 10:52:59,2,0,0,explorer.exe:OGL_変換仕様書,テスト,,,,テスト,
,2013/05/22 10:52:59,2013/05/22 10:53:02,1,0,0,explorer.exe:OVLYConverter,テスト,,,,テスト,
,2013/05/22 10:53:02,2013/05/22 10:53:04,1,0,0,explorer.exe:debug,テスト,,,,テスト,
,2013/05/22 10:53:04,2013/05/22 10:53:06,1,0,0,explorer.exe:backup,テスト,,,,テスト,
,2013/05/22 10:53:06,2013/05/22 10:53:07,1,0,0,explorer.exe:添付資料(パーツ用変換テーブル）,テスト,,,,テスト,
,2013/05/22 10:53:07,2013/05/22 10:53:38,1,0,0,explorer.exe:OGL_変換仕様書,テスト,,,,テスト,
,2013/05/22 10:53:38,2013/05/22 10:53:39,1,0,0,excel.exe:Microsoft Excel - 21_FRAME(SQU)制御文変換.xls,テスト,,,,テスト,
,2013/05/22 10:53:40,2013/05/22 10:53:44,2,0,0,explorer.exe:OGL_変換仕様書,テスト,,,,テスト,
,2013/05/22 10:53:44,2013/05/22 10:53:56,1,0,0,explorer.exe:backup,テスト,,,,テスト,
,2013/05/22 10:53:56,2013/05/22 10:53:57,1,0,0,excel.exe:Microsoft Excel - 21_FRAME(SQU)制御文変換.xls,テスト,,,,テスト,
,2013/05/22 10:53:58,2013/05/22 10:54:03,2,0,0,explorer.exe:backup,テスト,,,,テスト,
,2013/05/22 10:54:03,2013/05/22 10:54:08,1,0,0,notepad.exe:ogl-srcdata - メモ帳,テスト,,,,テスト,
,2013/05/22 10:54:08,2013/05/22 10:54:10,1,0,0,explorer.exe:backup,テスト,,,,テスト,
,2013/05/22 10:54:10,2013/05/22 10:54:15,2,0,0,explorer.exe:添付資料(パーツ用変換テーブル）,テスト,,,,テスト,
,2013/05/22 10:54:15,2013/05/22 10:54:21,3,0,0,explorer.exe:REF,テスト,,,,テスト,
,2013/05/22 10:54:21,2013/05/22 10:54:25,2,0,0,excel.exe:Microsoft Excel - THICK変換ﾃｰﾌﾞﾙ.xls,テスト,,,,テスト,
,2013/05/22 10:54:25,2013/05/22 10:54:28,1,0,0,excel.exe:Microsoft Excel - テスト仕様書一覧.xls,テスト,テスト,文書作成・確認,,テスト,
,2013/05/22 10:54:28,2013/05/22 10:54:29,1,0,0,explorer.exe:REF,テスト,,,,テスト,
,2013/05/22 10:54:29,2013/05/22 10:54:31,1,0,0,excel.exe:Microsoft Excel - THICK変換ﾃｰﾌﾞﾙ.xls,テスト,,,,テスト,
,2013/05/22 10:54:31,2013/05/22 10:55:04,0,0,0,notepad.exe:ogl-srcdata - メモ帳,テスト,,,,テスト,
,2013/05/22 10:55:04,2013/05/22 10:55:23,2,0,0,notepad.exe:ogl-srcdata - メモ帳,テスト,,,,テスト,
,2013/05/22 10:55:23,2013/05/22 10:55:24,1,0,0,devenv.exe:AIRS_OVLY (実行中) - Microsoft Visual Studio,テスト,プログラミング,テスト,,テスト,
